dataset,path,filename,original_folder,mapped_class,width,height,blur_norm,hash
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692332350433.jpg,1692332350433.jpg,Bacteria,bacterial_wilt,1500,1500,38.2228,9dce3c6f72810d23
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692332350457.jpg,1692332350457.jpg,Bacteria,bacterial_wilt,1500,1500,168.7369,83dcaf8f150cfa14
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692333303178.jpg,1692333303178.jpg,Bacteria,bacterial_wilt,1500,1500,238.1513,ace092333cf6653c
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692333631862.jpg,1692333631862.jpg,Bacteria,bacterial_wilt,1500,1500,198.1154,9b91da32876e12e9
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692333631989.jpg,1692333631989.jpg,Bacteria,bacterial_wilt,1500,1500,39.1381,daa54ab9f25a8cb0
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692335403904.jpg,1692335403904.jpg,Bacteria,bacterial_wilt,1500,1500,32.8493,f4d8a7909c6a17ac
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692336758680.jpg,1692336758680.jpg,Bacteria,bacterial_wilt,1500,1500,412.7018,84999af02d3361f7
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\1692336758926.jpg,1692336758926.jpg,Bacteria,bacterial_wilt,1500,1500,267.2319,9cc32dcc3116e64f
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111239.jpg,20230815_111239.jpg,Bacteria,bacterial_wilt,1500,1500,1748.5867,d5aab952a50db8e8
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111300.jpg,20230815_111300.jpg,Bacteria,bacterial_wilt,1500,1500,654.2894,d1a3293a266f4a73
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111318.jpg,20230815_111318.jpg,Bacteria,bacterial_wilt,1500,1500,179.0965,d079791493c96736
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111336.jpg,20230815_111336.jpg,Bacteria,bacterial_wilt,1500,1500,169.4122,c9b8cd996e63b284
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111544.jpg,20230815_111544.jpg,Bacteria,bacterial_wilt,1500,1500,47.1145,d2c93db665661465
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111602.jpg,20230815_111602.jpg,Bacteria,bacterial_wilt,1500,1500,112.9972,c89287fd96740c5b
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111615.jpg,20230815_111615.jpg,Bacteria,bacterial_wilt,1500,1500,90.3128,cc71f0d9261c9d27
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111657.jpg,20230815_111657.jpg,Bacteria,bacterial_wilt,1500,1500,172.163,faa6db0304363f0d
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111704.jpg,20230815_111704.jpg,Bacteria,bacterial_wilt,1500,1500,185.3145,ebc8d91d9dc98858
dataset1_warcoder,C:\Users\jaevi\Downloads\Datasets\dataset curado\dataset1_warcoder\Bacteria\20230815_111708.jpg,20230815_111708.jpg,Bacteria,bacterial_wilt,1500,1500,83.4887,d3d29e19d5f11988
